# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
65, 490, , 64185
66, 263, , 47486
66, 512, , 61345
66, 512, , 61141
66, 512, , 61114
66, 258, , 2404
66, 324, , 60982
66, 508, , 61099
66, 766, , 61616
66, 512, , 61274
66, 432, , 61002
66, 512, , 61198
66, 398, , 61075
66, 278, , 7920
66, 512, , 64231
66, 345, , 61034
66, 827, , 61552
66, 512, , 61346
66, 405, , 61184
66, 286, , 11216
66, 454, , 61287
175697
67, 343, , 60962
67, 279, , 61156
67, 315, , 61026
67, 683, , 61028
67, 279, , 5499
67, 283, , 12315
67, 646, , 61616
67, 372, , 61074
67, 603, , 61203
67, 386, , 61273
117679
67, 259, , 60775
67, 512, , 60990
67, 263, , 60975
67, 907, , 61017
67, 284, , 5612
67, 512, , 61013
67, 285, , 6643
67, 830, , 62181
67, 512, , 61167
67, 265, , 60830
68, 275, , 60766
68, 270, , 5512
68, 296, , 61023
68, 460, , 61260
68, 508, , 60985
68, 451, , 60990
114674
68, 262, , 61000
68, 672, , 61172
68, 337, , 61008
68, 512, , 60978
68, 430, , 60999
68, 275, , 5499
68, 299, , 6651
68, 266, , 60922
68, 512, , 61168
68, 512, , 61031
68, 346, , 61137
68, 264, , 60895
68, 443, , 61151
68, 319, , 60980
69, 493, , 61414
69, 356, , 61168
69, 281, , 5501
69, 349, , 61021
114448
69, 512, , 61484
69, 512, , 61360
69, 259, , 7701
69, 376, , 61002
69, 284, , 9742
69, 475, , 61007
69, 263, , 3402
69, 419, , 64199
69, 280, , 56665
69, 512, , 61104
69, 323, , 61036
69, 288, , 8716
69, 275, , 60794
69, 286, , 60860
69, 262, , 60934
69, 274, , 6583
70, 269, , 8662
70, 512, , 61155
70, 296, , 10774
70, 382, , 61036
70, 512, , 61036
70, 345, , 61258
70, 300, , 9466
70, 268, , 5542
70, 1572, , 61246
70, 326, , 60964
70, 354, , 60984
70, 291, , 7598
70, 321, , 60937
70, 695, , 61057
70, 424, , 60990
70, 261, , 6557
70, 512, , 61066
70, 371, , 61095
70, 459, , 67140
70, 267, , 60843
71, 1048, , 64157
71, 750, , 61078
71, 512, , 61122
71, 680, , 61368
71, 1417, , 62029
71, 302, , 60983
71, 266, , 60884
71, 509, , 61064
71, 512, , 61116
71, 309, , 60932
71, 347, , 61031
71, 421, , 61064
71, 347, , 61042
96799
71, 394, , 61093
71, 304, , 60869
71, 512, , 61390
71, 278, , 60864
71, 263, , 3436
71, 458, , 61206
71, 512, , 67729
72, 263, , 60932
72, 386, , 61020
72, 320, , 61101
72, 258, , 4426
72, 662, , 61048
72, 512, , 61033
72, 320, , 61088
72, 276, , 4526
72, 335, , 61058
72, 275, , 8683
72, 266, , 60933
72, 426, , 60997
72, 512, , 61011
72, 273, , 5539
72, 410, , 61018
